"Element","O  K","Na K","Mg K","Al K","Si K","K  K","Ca K","Ti K","Mn K","Fe K"
18_139_1,"48.69","4.91","0.56","8.3","30.45","3.27","1.39","0.22","0.15","2.06"
18_139_2,"49.6","4.96","0.59","8.16","29.71","3.1","1.42","0.23","0.18","2.05"
18_139_3,"44.68","4.26","0.55","8.7","32.97","3.94","1.6","0.29","0.21","2.8"
18_424_2_1,"46.72","4.97","0.57","8.97","31.28","3.43","1.49","0.26","0.21","2.09"
18_424_2_2,"47.11","4.93","0.56","8.97","30.9","3.39","1.52","0.26","0.18","2.18"
18_424_2_3,"47.3","4.93","0.55","8.91","31.05","3.39","1.36","0.25","0.16","2.09"
18_547_1,"41.54","3.81","1.23","9.6","30.9","2.53","4.09","0.58","0.25","5.47"
18_547_2,"41.89","3.86","1.23","9.39","31.31","2.59","4.12","0.49","0.22","4.89"
18_547_3,"40.59","3.84","1.26","9.63","31.73","2.68","4.14","0.54","0.3","5.29"
18_554_1_1_1,"47.18","4.66","0.55","8.36","31.89","3.55","1.32","0.22","0.22","2.06"
18_554_1_1_2,"46.83","4.77","0.57","8.46","32.2","3.6","1.24","0.25","0.16","1.92"
18_554_1_1_3,"47.36","4.72","0.53","8.41","31.74","3.46","1.22","0.24","0.2","2.13"
18_554_1_2_1,"48.55","4.66","0.75","9.27","28.35","2.52","2.54","0.3","0.19","2.86"
18_554_1_2_2,"48.97","4.57","0.74","9.07","27.87","2.47","3.05","0.38","0.16","2.73"
18_554_1_2_3,"49.77","4.56","0.81","9.31","27.13","2.28","2.52","0.35","0.19","3.09"
18_554_1_3_1,"44.97","4.15","0.62","8.88","32.61","4.05","1.5","0.28","0.26","2.68"
18_554_1_3_2,"43.43","3.96","0.58","9.09","33.86","4.12","1.62","0.34","0.2","2.8"
18_554_1_3_3,"46.97","4.42","0.55","8.63","31.86","3.49","1.31","0.28","0.17","2.31"
18_554_1_4_1,"46.09","4.28","1.08","9.8","28.75","2.01","3.93","0.39","0.2","3.46"
18_554_1_4_2,"47.4","4.49","1.23","9.37","28.76","1.79","3.12","0.3","0.2","3.33"
18_554_1_4_3,"46.56","4.14","2.13","9","27.78","1.61","3.84","0.38","0.2","4.36"
18_554_1_5_1,"44.83","4.07","1.93","9.72","26.76","1.5","4.82","0.51","0.24","5.63"
18_554_1_5_2,"43.98","4.09","1.81","9.8","26.94","1.52","4.95","0.5","0.26","6.15"
18_554_1_5_3,"44.44","3.92","1.93","9.78","26.5","1.58","4.91","0.52","0.25","6.17"
18_565_2_1,"47.39","3.77","0.68","8.36","32.97","4.19","0.98","0.21","0.14","1.05"
18_565_2_2,"46.41","3.63","0.7","8.48","33.6","4.52","1.21","0.25","0.12","1.08"
18_565_2_3,"45.35","3.38","0.64","8.65","33.91","4.7","1.44","0.31","0.16","1.47"
18_582_1,"50.93","5.42","0.53","7.74","28.97","2.97","1.11","0.24","0.14","1.94"
18_582_2,"52.24","5.55","0.46","7.63","28.36","2.73","1.01","0.22","0.17","1.64"
18_582_3,"52.41","5.49","0.43","7.57","28.28","2.8","1.04","0.23","0.14","1.62"
18_582_4,"45.16","4.79","0.51","8.28","32.47","3.88","1.48","0.31","0.23","2.9"
18_582_5,"46.91","4.83","0.48","8.14","31.38","3.66","1.49","0.29","0.26","2.58"
18_582_6,"50.21","5.17","0.54","8.04","29.72","3.05","1.15","0.19","0.15","1.78"
18_773_1,"45.93","4.25","0.58","9.46","32.12","2.97","1.66","0.35","0.15","2.52"
18_773_2,"45.88","4.4","0.63","9.42","32.15","3.04","1.63","0.3","0.17","2.38"
18_773_3,"46.07","4.33","0.6","9.44","31.94","2.97","1.59","0.37","0.18","2.51"
19_045_1,"45.09","5.55","0.76","10.88","26.34","1.56","4.58","0.36","0.24","4.63"
19_045_2,"44.99","5.65","0.76","10.69","25.89","1.62","5.33","0.39","0.29","4.4"
19_045_3,"45.11","5.38","0.82","10.92","25.7","1.63","4.79","0.41","0.35","4.9"
19_104_1_1,"43.72","4.41","0.58","8.69","33.85","4.74","1.08","0.34","0.21","2.37"
19_104_1_2,"42.97","4.51","0.57","8.84","34.19","4.83","1.09","0.32","0.26","2.43"
19_104_1_3,"44.72","4.73","0.6","8.69","33.06","4.4","1.16","0.28","0.25","2.12"
19_104_2_1,"45.45","4.48","0.58","8.9","32.81","3.85","1.37","0.32","0.17","2.07"
19_104_2_2,"46.41","4.61","0.57","8.85","32.08","3.64","1.33","0.24","0.21","2.07"
19_104_2_3,"45.71","4.41","0.59","8.82","32.6","3.87","1.39","0.29","0.25","2.07"
19_107_1,"44.83","3.96","0.97","10.35","29.06","2.15","3.86","0.49","0.27","4.07"
19_107_2,"45.27","4.23","0.95","10.14","29.14","2.09","3.73","0.45","0.23","3.75"
19_107_3,"43.94","3.93","0.97","10.33","29.53","2.24","3.94","0.47","0.32","4.32"
23_039_1,"47.02","4.4","1.34","9.36","27.68","1.77","3.47","0.46","0.22","4.28"
23_039_2,"47.51","4.31","1.19","9.5","27.75","1.75","3.79","0.36","0.19","3.65"
23_039_3,"47.92","4.42","1.39","9.16","28.04","1.8","3.22","0.37","0.24","3.43"
23_041_1_1,"44.17","4.02","1.25","9.58","29.7","2.02","3.84","0.5","0.23","4.69"
23_041_1_2,"43.91","3.97","1.27","9.69","29.58","2.09","3.91","0.47","0.23","4.87"
23_041_1_3,"44.88","3.95","1.27","10.08","28.73","1.78","4.3","0.46","0.2","4.36"
23_053_1,"43.29","3.98","0.59","8.88","34.94","3.86","1.57","0.34","0.31","2.24"
23_053_2,"44.94","4.03","0.63","8.65","33.68","3.83","1.66","0.38","0.18","2.01"
23_053_3,"44.37","3.98","0.61","8.69","34.16","3.88","1.61","0.36","0.22","2.13"
23_122b_1,"46.71","4.5","0.55","8.66","32.69","3.31","1.54","0.25","0.14","1.65"
23_122b_2,"45.83","4.37","0.59","8.75","33.05","3.47","1.7","0.3","0.17","1.78"
23_122b_3,"46.63","4.55","0.58","8.74","32.59","3.3","1.55","0.27","0.16","1.63"
23_397_1,"42.04","3.89","1.89","9.84","28.14","1.86","4.84","0.62","0.39","6.5"
23_397_2,"40.7","3.61","1.87","9.94","28.61","1.93","5.26","0.67","0.34","7.07"
23_397_3,"40.51","3.73","1.88","9.83","28.79","1.9","5.38","0.68","0.29","7.01"
24_062_1,"43.34","4.07","1.26","9.64","29.47","2.38","4.32","0.45","0.27","4.8"
24_062_2,"45.64","4.18","1.23","9.9","28.61","1.94","3.69","0.41","0.22","4.19"
24_062_3,"47.72","4.42","1.22","9.61","27.92","1.8","3.45","0.33","0.18","3.37"
24_093_1_1,"46.17","4.43","0.56","8.64","32.73","3.81","1.32","0.25","0.13","1.95"
24_093_1_2,"47.13","4.58","0.56","8.51","32.36","3.62","1.17","0.19","0.17","1.7"
24_093_1_3,"47.25","4.74","0.51","8.46","32.11","3.54","1.24","0.24","0.19","1.72"
24_093_1_4,"46.9","4.67","0.55","8.56","32.32","3.62","1.21","0.27","0.16","1.75"
24_157_1,"43.88","4.17","0.61","8.38","34.7","3.88","1.72","0.36","0.22","2.09"
24_157_2,"43.61","4","0.59","8.3","34.55","3.87","2.24","0.36","0.25","2.22"
24_157_3,"42.7","3.89","0.56","8.41","35.49","4.11","1.84","0.37","0.31","2.31"
18_139_1,"48.69","4.91","0.56","8.3","30.45","3.27","1.39","0.22","0.15","2.06"
18_139_2,"49.6","4.96","0.59","8.16","29.71","3.1","1.42","0.23","0.18","2.05"
18_139_3,"44.68","4.26","0.55","8.7","32.97","3.94","1.6","0.29","0.21","2.8"
